FeatureID,FeatureName,Cluster 6 Average,Log2 Fold Change,P-Value
ENSG00000164920,OSR2,0.06731427,2.4656243967698037,7.801727981599734e-05
ENSG00000175356,SCUBE2,0.057697946,2.6430919468087017,7.801727981599734e-05
ENSG00000175287,PHYHD1,0.036862576471278045,2.790332094227791,7.942759185658738e-05
ENSG00000136842,TMOD1,0.049684342,2.6884524802085776,8.477144025414089e-05
ENSG00000111077,TNS2,0.065711549,2.452738680374295,8.477144025414089e-05
ENSG00000165185,KIAA1958,0.051287062916560766,2.5923653760172005,8.964616259561335e-05
ENSG00000253767,PCDHGA8,0.030451693606707953,3.1660314455561336,9.509565295156727e-05
ENSG00000134757,DSG3,0.006410883,-4.521000885,9.780283169536771e-05
ENSG00000071205,ARHGAP10,0.12982037800754442,2.172280753153342,9.864781217039736e-05
ENSG00000078053,AMPH,0.020835369,3.5289742662013808,0.000103122
ENSG00000215018,COL28A1,0.020835369,4.633310926016117,0.000104295
ENSG00000121297,TSHZ3,0.097765964,2.288299218015713,0.000104295
ENSG00000082014,SMARCD3,0.041670739,2.654844087565758,0.000112415
ENSG00000174059,CD34,0.054492504,2.5767273976497487,0.000115938
ENSG00000114698,PLSCR4,0.072122432,2.331596052018263,0.000116445
ENSG00000119508,NR4A3,0.081738757,2.4304713021010693,0.00011719
ENSG00000103710,RASL12,0.036862576471278045,2.899956585402289,0.000117268
ENSG00000196123,KIAA0895L,0.11699861227840425,2.1824117819741455,0.00012075
ENSG00000072422,RHOBTB1,0.048081621484275715,2.6842278943468516,0.000126248
ENSG00000197565,COL4A6,0.020835369,3.8677761796531396,0.000128847
ENSG00000163531,NFASC,0.024040810742137857,3.5331742547306657,0.000131851
ENSG00000185046,ANKS1B,0.012821765729140192,4.147884098845875,0.000135176
ENSG00000021762,OSBPL5,0.072122432,2.318299229404805,0.000137415
ENSG00000211448,DIO2,0.1602720716142524,2.121346961176044,0.000137415
ENSG00000091986,CCDC80,0.3173387017962197,1.992531898490835,0.00013868
ENSG00000144857,BOC,0.081738757,2.259609181404704,0.000139785
ENSG00000164684,ZNF704,0.088149639,2.272244437221796,0.000140217
ENSG00000171914,TLN2,0.038465297187420575,2.7364578531194104,0.000145548
ENSG00000155970,MICU3,0.040068018,2.729382744,0.000146276
ENSG00000022267,FHL1,0.033657135,2.7999607954255676,0.000151378
ENSG00000185630,PBX1,0.26605163887965894,2.0090068600650968,0.000154504
ENSG00000044524,EPHA3,0.016027207,3.6531194070962973,0.000159722
ENSG00000021645,NRXN3,0.011219045012997668,4.447444380704782,0.000159722
ENSG00000156218,ADAMTSL3,0.017629928,3.778650289180156,0.000163566
ENSG00000142303,ADAMTS10,0.065711549,2.292274008181049,0.000163566
ENSG00000166292,TMEM100,0.024040810742137857,3.4474443807047823,0.000164504
ENSG00000132561,MATN2,0.049684342,2.656031003,0.000185497
ENSG00000250305,TRMT9B,0.020835369,3.597687016285395,0.000186985
ENSG00000131873,CHSY1,0.4167073861970562,1.9320210634539068,0.000186985
ENSG00000157168,NRG1,0.083341477,2.298375725373326,0.000192558
ENSG00000008311,AASS,0.080136036,2.2504538324864227,0.000194197
ENSG00000166813,KIF7,0.041670739,2.5277321696624195,0.000199834
ENSG00000197461,PDGFA,0.083341477,2.3135621291880017,0.000205349
ENSG00000006638,TBXA2R,0.024040810742137857,3.1255162858174206,0.000210542
ENSG00000088756,ARHGAP28,0.020835369,3.4316770648464647,0.000219647
ENSG00000145623,OSMR,0.2083536930985281,2.003887562394089,0.000223266
ENSG00000132535,DLG4,0.060903387213415906,2.2683793910324352,0.000224477
ENSG00000204311,PJVK,0.024040810742137857,3.2171467612829883,0.000226416
ENSG00000147041,SYTL5,0.016027207,4.022353216762016,0.000227022
ENSG00000125895,TMEM74B,0.014424486445282715,4.077494770954478,0.000227943
ENSG00000184205,TSPYL2,0.15706663018196734,2.0340893248129848,0.000233132
ENSG00000134871,COL4A2,1.1122881770029116,1.8898316041169319,0.000240493
ENSG00000214021,TTLL3,0.18271016164024773,1.9765658621036954,0.000248712
ENSG00000112936,C7,0.028848973,3.6953718941483675,0.000248712
ENSG00000186340,THBS2,0.4856243769911847,1.9256611770151013,0.000259285
ENSG00000069702,TGFBR3,0.064108829,2.3761530865189924,0.00026765
ENSG00000102554,KLF5,0.009616324,-4.120240129,0.00026765
ENSG00000253731,PCDHGA6,0.020835369,3.3113828311287534,0.000270883
ENSG00000150672,DLG2,0.035259856,2.717249744516012,0.000272663
ENSG00000153956,CACNA2D1,0.027246252174422905,2.8259560039585123,0.000283938
ENSG00000253537,PCDHGA7,0.022438090025995335,3.326854239891195,0.000284566
ENSG00000145147,SLIT2,0.028848973,2.9695468575873623,0.000290757
